index group
1 Visual:Visual
2 Visual:Visual
3 Visual:Visual
4 Visual:Visual
5 Visual:Visual
6 Visual:Visual
7 Visual:Visual
8 Visual:Visual
9 Visual:Visual
10 Visual:Visual
11 Visual:Visual
12 Visual:Visual
13 Visual:Visual
14 Visual:Visual
15 Visual:Visual
16 Visual:Visual
17 Visual:Visual
18 Visual:Visual
19 Visual:Visual
20 Visual:Visual
21 Visual:Visual
22 Visual:Visual
23 Visual:Visual
24 Visual:Visual
25 Visual:Visual
26 Visual:Visual
27 Visual:Visual
28 Visual:Visual
29 Visual:Auditory
30 Visual:Auditory
31 Visual:Auditory
32 Visual:Auditory
33 Visual:Auditory
34 Visual:Auditory
35 Visual:Auditory
36 Visual:Auditory
37 Visual:Auditory
38 Visual:Auditory
39 Visual:Auditory
40 Visual:Auditory
41 Visual:Auditory
42 Visual:Auditory
43 Visual:Auditory
44 Visual:Auditory
45 Auditory:Auditory
46 Visual:Auditory
47 Visual:Auditory
48 Visual:Auditory
49 Visual:Auditory
50 Visual:Auditory
51 Visual:Auditory
52 Visual:Auditory
53 Visual:Auditory
54 Auditory:Auditory
55 Auditory:Auditory
56 Visual:Auditory
57 Visual:Auditory
58 Visual:Auditory
59 Visual:Auditory
60 Visual:Auditory
61 Visual:Auditory
62 Visual:Auditory
63 Visual:Auditory
64 Auditory:Auditory
65 Auditory:Auditory
66 Auditory:Auditory
67 Visual:Somatomotor
68 Visual:Somatomotor
69 Visual:Somatomotor
70 Visual:Somatomotor
71 Visual:Somatomotor
72 Visual:Somatomotor
73 Visual:Somatomotor
74 Visual:Somatomotor
75 Auditory:Somatomotor
76 Auditory:Somatomotor
77 Auditory:Somatomotor
78 Auditory:Somatomotor
79 Visual:Somatomotor
80 Visual:Somatomotor
81 Visual:Somatomotor
82 Visual:Somatomotor
83 Visual:Somatomotor
84 Visual:Somatomotor
85 Visual:Somatomotor
86 Visual:Somatomotor
87 Auditory:Somatomotor
88 Auditory:Somatomotor
89 Auditory:Somatomotor
90 Auditory:Somatomotor
91 Somatomotor:Somatomotor
92 Visual:Somatomotor
93 Visual:Somatomotor
94 Visual:Somatomotor
95 Visual:Somatomotor
96 Visual:Somatomotor
97 Visual:Somatomotor
98 Visual:Somatomotor
99 Visual:Somatomotor
100 Auditory:Somatomotor
101 Auditory:Somatomotor
102 Auditory:Somatomotor
103 Auditory:Somatomotor
104 Somatomotor:Somatomotor
